Guest Name,Party,Meal Choice,Phone
Bukki Solanke,hosts,Fish,+234 802 000 0001
Adaeze Okonkwo,okonkwo,Vegetarian,+234 802 000 0002
Chidi Okonkwo,okonkwo,Beef,+234 802 000 0003
Ngozi Okonkwo,okonkwo,Fish,
Emeka Obi,obi,Beef,+234 802 000 0005
Chiamaka Obi,obi,Vegetarian,
Folake Balogun,,Fish,+234 802 000 0007
Damilola Adeyemi,adeyemi,Beef,
Tunde Adeyemi,adeyemi,Beef,+234 802 000 0009
Grace Mensah,,Vegetarian,
Kwame Asante,asante,Fish,+233 20 000 0011
Ama Asante,asante,Fish,
Hakeem Yusuf,,,+234 802 000 0013
Zoë Ardèche,,Vegetarian,+33 6 00 00 00 14
José Álvarez,alvarez,Beef,+34 600 000 015
María Álvarez,alvarez,Vegetarian,
N'Golo Diallo,,Fish,+221 77 000 0017
Siobhán O'Brien,obrien,Vegetarian,+353 86 000 0018
Declan O'Brien,obrien,Beef,
Amara Nwosu,,Fish,+234 802 000 0020
Ibrahim Sesay,,Beef,+232 76 000 0021
Fatima Bello,bello,Fish,
Yusuf Bello,bello,Fish,+234 802 000 0023
Lerato Molefe,,Vegetarian,+27 82 000 0024
Thabo Molefe,molefe,Beef,
Naledi Molefe,molefe,Beef,
Chinelo Eze,,Fish,+234 802 000 0027
Oluwaseun Ajayi,,Vegetarian,
Kofi Boateng,,Beef,+233 24 000 0029
Aisha Mohammed,,Fish,
