Full Name,Table No,Meal Choice,Phone
"Solanke, Bukki",Head Table,Fish,+234 802 000 0001
"Okonkwo, Adaeze",Table 1,Vegetarian,+234 802 000 0002
"Okonkwo, Chidi",Table 1,Beef,+234 802 000 0003
"Okonkwo, Ngozi",Table 1,Fish,
"Obi, Emeka",Table 2,Beef,+234 802 000 0005
"Obi, Chiamaka",Table 2,Vegetarian,
"Balogun, Folake",Table 2,Fish,+234 802 000 0007
"Adeyemi, Damilola",Table 3,Beef,
"Adeyemi, Tunde",Table 3,Beef,+234 802 000 0009
"Mensah, Grace",Table 3,Vegetarian,
"Asante, Kwame",Table 4,Fish,+233 20 000 0011
"Asante, Ama",Table 4,Fish,
"Yusuf, Hakeem",,,+234 802 000 0013
"Ardèche, Zoë",Table 4,Vegetarian,+33 6 00 00 00 14
"Álvarez, José",Table 5,Beef,+34 600 000 015
"Álvarez, María",Table 5,Vegetarian,
"Diallo, N'Golo",Table 5,Fish,+221 77 000 0017
"O'Brien, Siobhán",Table 6,Vegetarian,+353 86 000 0018
"O'Brien, Declan",Table 6,Beef,
"Nwosu, Amara",Table 6,Fish,+234 802 000 0020
"Sesay, Ibrahim",VIP-A,Beef,+232 76 000 0021
"Bello, Fatima",VIP-A,Fish,
"Bello, Yusuf",VIP-A,Fish,+234 802 000 0023
"Molefe, Lerato",Table 7,Vegetarian,+27 82 000 0024
"Molefe, Thabo",Table 7,Beef,
"Molefe, Naledi",Table 7,Beef,
"Eze, Chinelo",Table 8,Fish,+234 802 000 0027
"Ajayi, Oluwaseun",Table 8,Vegetarian,
"Boateng, Kofi",Table 8,Beef,+233 24 000 0029
"Mohammed, Aisha",,Fish,
